tag_index,tag_name,unmasked_weight,masked_rowsum,p,N,Nd
250,min:26575416,41,35841237324,68724326401,11580,405184
251,min:26575417,36,40467725922,68724326401,11580,405184
252,min:26575418,35,66830077991,68724326401,11580,405184
253,min:26575419,34,12013898986,68724326401,11580,405184
254,min:26575420,39,38066359584,68724326401,11580,405184
255,min:26575421,38,62012952506,68724326401,11580,405184
256,min:26575422,39,32456984289,68724326401,11580,405184
257,min:26575423,36,50947259437,68724326401,11580,405184
258,min:26575424,38,1143981348,68724326401,11580,405184
259,min:26575425,38,4415595818,68724326401,11580,405184
260,min:26575426,36,16559556963,68724326401,11580,405184
261,min:26575427,35,62738567636,68724326401,11580,405184
262,min:26575428,36,5109721671,68724326401,11580,405184
263,min:26575429,37,51182419887,68724326401,11580,405184
264,min:26575430,35,32213292093,68724326401,11580,405184
265,min:26575431,36,5378899244,68724326401,11580,405184
266,min:26575432,36,11513709742,68724326401,11580,405184
267,min:26575433,35,9618575922,68724326401,11580,405184
268,min:26575434,37,32295786678,68724326401,11580,405184
269,min:26575435,38,10378527150,68724326401,11580,405184
270,min:26575436,34,30603505819,68724326401,11580,405184
271,min:26575437,37,58556260605,68724326401,11580,405184
272,min:26575438,36,44342978983,68724326401,11580,405184
273,min:26575439,34,36762855309,68724326401,11580,405184
274,min:26575440,37,17841297811,68724326401,11580,405184
275,min:26575441,37,54731527693,68724326401,11580,405184
276,min:26575442,38,43831760063,68724326401,11580,405184
277,min:26575443,39,43273505448,68724326401,11580,405184
278,min:26575444,40,9464681346,68724326401,11580,405184
279,min:26575445,38,30153120409,68724326401,11580,405184
280,min:26575446,37,67744615343,68724326401,11580,405184
281,min:26575447,36,54376978329,68724326401,11580,405184
282,min:26575448,35,13910046201,68724326401,11580,405184
283,min:26575449,36,44457488232,68724326401,11580,405184
284,min:26575450,38,56503402632,68724326401,11580,405184
285,min:26575451,38,67427854491,68724326401,11580,405184
286,min:26575452,39,59107455734,68724326401,11580,405184
287,min:26575453,34,9300492224,68724326401,11580,405184
288,min:26575454,34,16872223501,68724326401,11580,405184
289,min:26575455,37,8562769645,68724326401,11580,405184
290,min:26575456,37,57949650745,68724326401,11580,405184
291,min:26575457,37,26508010512,68724326401,11580,405184
292,min:26575458,38,11910478869,68724326401,11580,405184
293,min:26575459,35,50472612195,68724326401,11580,405184
294,min:26575460,35,38427104108,68724326401,11580,405184
295,min:26575461,41,18142704116,68724326401,11580,405184
296,min:26575462,37,18858514054,68724326401,11580,405184
297,min:26575463,41,32924713628,68724326401,11580,405184
298,min:26575464,35,31917907178,68724326401,11580,405184
299,min:26575465,38,23131603509,68724326401,11580,405184
300,min:26575466,40,50566409586,68724326401,11580,405184
301,min:26575467,36,27283152527,68724326401,11580,405184
302,min:26575468,34,25035897631,68724326401,11580,405184
303,min:26575469,35,57978173722,68724326401,11580,405184
304,min:26575470,35,65108518251,68724326401,11580,405184
305,min:26575471,39,65708842687,68724326401,11580,405184
306,min:26575472,34,281453727,68724326401,11580,405184
307,min:26575473,37,24822525778,68724326401,11580,405184
308,min:26575474,37,63788477233,68724326401,11580,405184
309,min:26575475,38,15456952439,68724326401,11580,405184
310,min:26575476,39,39123457360,68724326401,11580,405184
311,min:26575477,35,9127852411,68724326401,11580,405184
312,min:26575478,36,44047898151,68724326401,11580,405184
313,min:26575479,35,59840359208,68724326401,11580,405184
314,min:26575480,38,6291424934,68724326401,11580,405184
315,min:26575481,34,67684434564,68724326401,11580,405184
316,min:26575482,37,38281769300,68724326401,11580,405184
317,min:26575483,38,42476914753,68724326401,11580,405184
318,min:26575484,37,29243871512,68724326401,11580,405184
319,min:26575485,37,6603500249,68724326401,11580,405184
320,min:26575486,40,62137911482,68724326401,11580,405184
321,min:26575487,34,41391163521,68724326401,11580,405184
322,min:26575488,35,43182600286,68724326401,11580,405184
323,min:26575489,38,61829554643,68724326401,11580,405184
324,min:26575490,35,852085559,68724326401,11580,405184
325,min:26575491,33,67536875236,68724326401,11580,405184
326,min:26575492,36,49068086860,68724326401,11580,405184
327,min:26575493,38,68013209863,68724326401,11580,405184
328,min:26575494,38,57082817182,68724326401,11580,405184
329,min:26575495,41,15420722085,68724326401,11580,405184
330,min:26575496,40,18558808816,68724326401,11580,405184
331,min:26575497,35,9373136237,68724326401,11580,405184
332,min:26575498,35,3575401934,68724326401,11580,405184
333,min:26575499,34,60948434113,68724326401,11580,405184
334,min:26575500,36,17752580182,68724326401,11580,405184
335,min:26575501,36,4597494227,68724326401,11580,405184
336,min:26575502,34,46989574310,68724326401,11580,405184
337,min:26575503,34,27839837074,68724326401,11580,405184
338,min:26575504,38,12069184731,68724326401,11580,405184
339,min:26575505,38,54296641916,68724326401,11580,405184
340,min:26575506,36,24278047797,68724326401,11580,405184
341,min:26575507,38,63328340809,68724326401,11580,405184
342,min:26575508,37,2695663997,68724326401,11580,405184
343,min:26575509,34,60776118901,68724326401,11580,405184
344,min:26575510,34,51946442235,68724326401,11580,405184
345,min:26575511,36,17694740110,68724326401,11580,405184
346,min:26575512,34,45864911864,68724326401,11580,405184
347,min:26575513,35,59346477815,68724326401,11580,405184
348,min:26575514,36,56955400785,68724326401,11580,405184
349,min:26575515,36,52225167901,68724326401,11580,405184
350,min:26575516,33,39539312513,68724326401,11580,405184
351,min:26575517,36,47520139301,68724326401,11580,405184
352,min:26575518,36,22567879398,68724326401,11580,405184
353,min:26575519,34,22686314354,68724326401,11580,405184
354,min:26575520,32,11648248182,68724326401,11580,405184
355,min:26575521,32,50260899430,68724326401,11580,405184
356,min:26575522,32,2746245820,68724326401,11580,405184
357,min:26575523,31,18561037265,68724326401,11580,405184
358,min:26575524,33,62653313419,68724326401,11580,405184
359,min:26575525,32,57964575285,68724326401,11580,405184
360,min:26575526,37,15841278584,68724326401,11580,405184
361,min:26575527,34,30142549443,68724326401,11580,405184
362,min:26575528,37,49615887835,68724326401,11580,405184
363,min:26575529,31,2382211278,68724326401,11580,405184
364,min:26575530,33,34470930890,68724326401,11580,405184
365,min:26575531,33,41304620082,68724326401,11580,405184
366,min:26575532,31,33054146769,68724326401,11580,405184
367,min:26575533,30,16684259825,68724326401,11580,405184
368,min:26575534,28,30305428232,68724326401,11580,405184
369,min:26575535,33,40908947829,68724326401,11580,405184
370,min:26575536,30,66630627874,68724326401,11580,405184
371,min:26575537,30,17164580547,68724326401,11580,405184
372,min:26575538,35,33159590235,68724326401,11580,405184
373,min:26575539,29,40103758699,68724326401,11580,405184
374,min:26575540,34,16463740892,68724326401,11580,405184
375,min:26575541,35,32285428492,68724326401,11580,405184
376,min:26575542,32,19254233469,68724326401,11580,405184
377,min:26575543,34,58225247215,68724326401,11580,405184
378,min:26575544,30,59183647086,68724326401,11580,405184
379,min:26575545,30,4988248464,68724326401,11580,405184
380,min:26575546,31,39390697346,68724326401,11580,405184
381,min:26575547,34,58260594374,68724326401,11580,405184
