N,n_parties,threads,construction,eval_ms_median,eval_ms_p25,eval_ms_p75,eval_ms_min,eval_ms_max,reps,key_bytes_party0,key_bytes_max,uplink_bytes_total,evals_per_sec,cpu,aes,p
100000,3,16,nparty-explicit,0.218816,0.217944,0.224265,0.217512,0.228063,11,32,800016,800080,4.57005e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,3,32,nparty-explicit,0.218904,0.218025,0.226771,0.217733,0.228754,11,32,800016,800080,4.56821e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,3,64,nparty-explicit,0.218495,0.218154,0.226731,0.217693,0.229406,11,32,800016,800080,4.57676e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,4,1,nparty-explicit,0.33736,0.331509,0.342209,0.331089,0.346067,11,32,800016,800112,2.96419e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,4,2,nparty-explicit,0.219075,0.217924,0.226129,0.217813,0.226931,11,32,800016,800112,4.56465e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,4,4,nparty-explicit,0.218716,0.217914,0.2273,0.217583,0.228884,11,32,800016,800112,4.57214e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,4,8,nparty-explicit,0.222903,0.218094,0.225548,0.217673,0.227722,11,32,800016,800112,4.48626e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,4,16,nparty-explicit,0.219497,0.217993,0.227392,0.217382,0.229086,11,32,800016,800112,4.55587e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,4,32,nparty-explicit,0.223273,0.218044,0.227132,0.217453,0.228323,11,32,800016,800112,4.47882e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,4,64,nparty-explicit,0.218926,0.218074,0.22646,0.218013,0.228023,11,32,800016,800112,4.56775e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,1,bgi16-tree,41.8926,41.7577,41.9224,41.7455,41.9917,11,368,368,736,2.38705e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,2,bgi16-tree,31.8644,31.8449,31.9163,31.7748,31.9637,11,368,368,736,3.1383e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,4,bgi16-tree,25.367,25.3134,25.4048,25.2158,25.4074,11,368,368,736,3.94214e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,8,bgi16-tree,21.4543,21.4195,21.4848,21.4068,21.5033,11,368,368,736,4.66106e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,16,bgi16-tree,19.48,19.4437,19.5068,19.4035,19.5285,11,368,368,736,5.13348e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,32,bgi16-tree,23.7433,23.4678,23.981,23.3936,24.5019,11,368,368,736,4.21171e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,64,bgi16-tree,23.9249,23.7325,25.0627,23.6648,55.9738,11,368,368,736,4.17975e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,1,nparty-explicit,3.36184,3.35905,3.36626,3.3534,3.37788,11,32,8000016,8000048,2.97456e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,2,nparty-explicit,1.69714,1.69343,1.70331,1.68571,1.70774,11,32,8000016,8000048,5.89226e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,4,nparty-explicit,0.84819,0.846346,0.848851,0.838762,0.852759,11,32,8000016,8000048,1.17898e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,8,nparty-explicit,0.446457,0.442009,0.447991,0.436358,0.453651,11,32,8000016,8000048,2.23986e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,16,nparty-explicit,0.258791,0.246548,0.308785,0.24204,0.327422,11,32,8000016,8000048,3.86412e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,32,nparty-explicit,0.25356,0.246027,0.256427,0.245095,0.261787,11,32,8000016,8000048,3.94384e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,2,64,nparty-explicit,0.247941,0.245745,0.253521,0.245375,0.257279,11,32,8000016,8000048,4.03322e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,3,1,nparty-explicit,3.36942,3.36088,3.37246,3.35682,3.39644,11,32,8000016,8000080,2.96787e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,3,2,nparty-explicit,1.69018,1.68685,1.69573,1.68421,1.69803,11,32,8000016,8000080,5.91654e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,3,4,nparty-explicit,0.846857,0.845495,0.848631,0.836627,0.855533,11,32,8000016,8000080,1.18084e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,3,8,nparty-explicit,0.444774,0.436458,0.447961,0.435646,0.458501,11,32,8000016,8000080,2.24833e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,3,16,nparty-explicit,0.255715,0.244705,0.269322,0.238812,0.313886,11,32,8000016,8000080,3.9106e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,3,32,nparty-explicit,0.247419,0.245797,0.254283,0.245255,0.256526,11,32,8000016,8000080,4.04173e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,3,64,nparty-explicit,0.246578,0.245946,0.256065,0.245245,0.261517,11,32,8000016,8000080,4.05551e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,4,1,nparty-explicit,3.36014,3.35559,3.3615,3.35295,3.36512,11,32,8000016,8000112,2.97607e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,4,2,nparty-explicit,1.68901,1.68626,1.69245,1.68296,1.69454,11,32,8000016,8000112,5.92064e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,4,4,nparty-explicit,0.846928,0.840175,0.84863,0.836878,0.855714,11,32,8000016,8000112,1.18074e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,4,8,nparty-explicit,0.445114,0.441769,0.44792,0.436188,0.451176,11,32,8000016,8000112,2.24662e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,4,16,nparty-explicit,0.259242,0.245144,0.27392,0.239476,0.287094,11,32,8000016,8000112,3.8574e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,4,32,nparty-explicit,0.251628,0.245596,0.256165,0.244895,0.256447,11,32,8000016,8000112,3.97412e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000000,4,64,nparty-explicit,0.251908,0.245877,0.255454,0.245204,0.255737,11,32,8000016,8000112,3.9697e+09,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
