deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=2",2,11580,sum,72,44.894,34.8619,8.71408,1.31803,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,73,44.6914,35.0436,8.39373,1.25409,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,74,44.7125,38.0624,5.44716,1.20291,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,75,44.5343,34.7285,8.59813,1.20764,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,76,44.8813,35.3073,8.37776,1.19623,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,77,44.1573,34.6613,8.29914,1.19684,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,78,43.8929,34.7128,7.99393,1.18617,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,79,41.091,34.7651,5.13224,1.19372,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,80,44.3775,34.7147,8.47106,1.19176,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,81,41.7903,32.2161,8.37386,1.20034,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,82,40.8543,34.6584,5.00714,1.18879,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,83,44.8142,35.0258,8.58522,1.20315,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,84,44.4432,35.2583,7.97626,1.20858,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,85,41.0564,34.4818,5.37492,1.19964,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,86,44.6846,34.9839,8.45847,1.24229,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,87,41.1494,34.434,5.51558,1.19987,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,88,41.7651,34.3398,6.21876,1.20663,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,89,44.07,34.4335,8.43938,1.19705,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,90,41.5713,35.0615,5.24771,1.26211,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,91,44.8663,35.1628,8.51011,1.19338,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,92,41.3965,34.6962,5.52382,1.17641,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,93,44.5974,34.894,8.49462,1.20886,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,94,44.2863,34.7033,8.35358,1.22937,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,95,41.6422,34.4122,6.01234,1.21764,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,96,44.6715,34.9702,8.45153,1.24976,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,97,41.5686,34.8719,5.51149,1.1852,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,98,44.5242,34.9892,8.34755,1.18741,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,99,42.1113,36.4483,4.46894,1.1941,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
